ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
5100,2022-01-14 12:00:00,2119.896019100263,0.1885,long,-1,-3.552309759206301,DOGEUSDT,-0.8889655172413768,0.1872,2022-01-15 20:00:00,1 days 08:00:00,SIGNAL
5103,2022-01-25 20:00:00,2771.9989395466155,0.1439,long,5103,-2.3070099774323407,DOGEUSDT,-0.5783564975677484,0.143355,2022-01-26 20:00:00,1 days 00:00:00,TRAILING STOP
5105,2022-03-24 00:00:00,3069.566304671232,0.1299,long,-1,6.5621188461262,DOGEUSDT,1.645727482678994,0.1323,2022-03-25 16:00:00,1 days 16:00:00,SIGNAL
5108,2022-03-27 12:00:00,2865.5255842501406,0.1395,long,5108,9.692167477004626,DOGEUSDT,2.4246129032257877,0.143165,2022-03-28 20:00:00,1 days 08:00:00,TRAILING STOP
5110,2022-04-04 16:00:00,2791.364252962454,0.1438,long,5110,55.70763323054578,DOGEUSDT,13.878397079276755,0.164065,2022-04-06 00:00:00,1 days 08:00:00,TRAILING STOP
5112,2022-04-08 08:00:00,2728.405236293169,0.1512,long,5112,-21.17224728729463,DOGEUSDT,-5.132232142857142,0.143735,2022-04-08 12:00:00,0 days 04:00:00,TRAILING STOP
5114,2022-04-25 20:00:00,2520.5274090865864,0.1621,long,5114,-21.22560076202201,DOGEUSDT,-5.195000000000002,0.153995,2022-04-26 00:00:00,0 days 04:00:00,TRAILING STOP
5116,2022-04-26 12:00:00,2536.6161464228635,0.1594,long,5116,-33.751707121073295,DOGEUSDT,-8.347427854454194,0.1464,2022-04-26 16:00:00,0 days 04:00:00,TRAILING STOP
5118,2022-05-27 16:00:00,4767.302349081729,0.0834,long,5118,0.15732097751965823,DOGEUSDT,0.03956834532373125,0.0836,2022-05-31 12:00:00,3 days 20:00:00,TRAILING STOP
5120,2022-06-19 12:00:00,6916.410657090926,0.05749,long,5120,-1.0958118970721515,DOGEUSDT,-0.27558966776829874,0.057446500000000005,2022-06-20 00:00:00,0 days 12:00:00,TRAILING STOP
5122,2022-10-28 20:00:00,4689.150504308896,0.08478,long,5122,190.28877072353228,DOGEUSDT,47.865828025477704,0.125571,2022-10-29 16:00:00,0 days 20:00:00,TRAILING STOP
5124,2022-10-29 20:00:00,3405.484433368333,0.12786,long,5124,-22.620341199842166,DOGEUSDT,-5.194999999999997,0.121467,2022-10-30 00:00:00,0 days 04:00:00,TRAILING STOP
5126,2022-11-26 00:00:00,4814.588725801095,0.0895,long,5126,-10.276944255243288,DOGEUSDT,-2.384963687150839,0.0875425,2022-11-26 20:00:00,0 days 20:00:00,TRAILING STOP
5128,2022-11-27 12:00:00,4095.228757101461,0.10472,long,5128,-22.278879865298414,DOGEUSDT,-5.195000000000005,0.09948399999999999,2022-11-27 20:00:00,0 days 08:00:00,TRAILING STOP
5130,2022-11-28 00:00:00,4300.780612031351,0.0987,long,5130,-22.133735177666296,DOGEUSDT,-5.214231003039513,0.093746,2022-11-28 04:00:00,0 days 04:00:00,TRAILING STOP
