ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
1317,2022-01-24 21:00:00,363.9347901642983,1.098,long,1317,-20.759240759240736,ADAUSDT,-5.194999999999995,1.0431000000000001,2022-01-25 00:00:00,0 days 03:00:00,TRAILING STOP
1319,2022-01-26 19:00:00,359.1759301989127,1.101,long,1319,-20.543767720790715,ADAUSDT,-5.195000000000005,1.04595,2022-01-26 21:00:00,0 days 02:00:00,TRAILING STOP
1321,2022-03-23 16:00:00,365.06347971430966,1.071,long,1321,15.720637361067393,ADAUSDT,4.020798319327732,1.11625,2022-03-25 00:00:00,1 days 08:00:00,TRAILING STOP
1323,2022-03-28 18:00:00,324.14875656488715,1.218,long,1323,-15.896044325250253,ADAUSDT,-4.0262192118226485,1.1713500000000001,2022-03-28 23:00:00,0 days 05:00:00,TRAILING STOP
1325,2022-04-18 19:00:00,420.7666708680106,0.929,long,-1,3.421674567498619,ADAUSDT,0.8753498385360492,0.939,2022-04-20 23:00:00,2 days 04:00:00,SIGNAL
1328,2022-05-30 10:00:00,754.5652650038255,0.5195,long,1328,87.34024654262801,ADAUSDT,22.280865255052944,0.636405,2022-05-31 12:00:00,1 days 02:00:00,TRAILING STOP
1330,2022-06-23 23:00:00,859.2807006910874,0.47650000000000003,long,-1,17.465481738036825,ADAUSDT,4.265624344176283,0.4978,2022-06-25 01:00:00,1 days 02:00:00,SIGNAL
1333,2022-08-14 04:00:00,699.3003566810662,0.5906,long,-1,-16.544537348610316,ADAUSDT,-4.0058753809685,0.5681,2022-08-14 20:00:00,0 days 16:00:00,SIGNAL
1336,2022-08-25 21:00:00,866.2111625128259,0.473,long,1336,-14.050560065883394,ADAUSDT,-3.429325581395343,0.45771,2022-08-26 15:00:00,0 days 18:00:00,TRAILING STOP
1338,2022-08-29 17:00:00,908.291926867263,0.4479,long,-1,-1.7210315430280907,ADAUSDT,-0.4230408573342266,0.4469,2022-08-30 16:00:00,0 days 23:00:00,SIGNAL
1341,2022-09-22 17:00:00,898.6957585622101,0.4522,long,1341,0.466580370451544,ADAUSDT,0.11481092436975002,0.453625,2022-09-23 08:00:00,0 days 15:00:00,TRAILING STOP
